Model,Feature_details,RMSE,R^2_train,R^2_test,4_Fold_Validation,5_Fold_Validation,Note
Multiple Linear Regression,"['TM', 'PT', 'SD']",2.1629670082467674,0.2147175346146295,0.2653380297007595,0.21980360132124935,0.22066882353915798,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['TM', 'PT', 'E']",2.6020699279617823,0.22554464170878463,-0.06322626387860453,-0.8843400839831537,-0.8448862655727712,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['TM', 'SD', 'E']",2.610363391125813,0.19963128307934042,-0.0700146134900137,-0.8620136714388974,-0.8189548741292473,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['F', 'PCA', 'DCA']",2.329053775791417,0.14537539622779583,0.14818202343121611,0.1350437333361821,0.1400817134529847,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['F', 'PCA', 'PT']",2.287145398200319,0.17308010061258594,0.17856100119479335,0.1643308671686298,0.16873149890128053,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['F', 'PCA', 'SD']",2.330319882938223,0.143878887874209,0.14725565068599678,0.1340408644951618,0.13905752321083034,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['F', 'PCA', 'E']",2.7529532661959895,0.15602762735562026,-0.19010545730197714,-1.0141940081939993,-1.011041870481052,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['F', 'DCA', 'PT']",2.470130510428387,0.04645326510841152,0.04186309404114308,0.03440186513983404,0.04060685034794147,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['F', 'DCA', 'SD']",2.5177142241781287,0.011033126795127579,0.004593125252422947,-0.003054957773312522,0.005022612998962117,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['F', 'DCA', 'E']",3.379946604691609,0.038879328382566136,-0.7939380760920929,-2.412640096755146,-2.3907034312292046,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['F', 'PT', 'SD']",2.4684947076775305,0.04803076403243167,0.04313169423298735,0.035457366277977215,0.04219880413376009,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['F', 'PT', 'E']",3.342904861094148,0.07633594513017938,-0.7548330386407673,-2.3610544448149597,-2.3416832144699997,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['F', 'SD', 'E']",3.3709444348058475,0.04000071649550985,-0.7843948311276534,-2.3970765251444357,-2.367846118321104,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['PCA', 'DCA', 'PT']",2.2853548588619126,0.1727331197493378,0.17984665895145413,0.16532066413062144,0.1685302269548978,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['PCA', 'DCA', 'SD']",2.329096870589137,0.14290200852103885,0.14815050053261125,0.13462708905684528,0.1383541248822811,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['PCA', 'DCA', 'E']",2.7529441721676275,0.1551510540458122,-0.19009759459319908,-1.011617444060279,-0.9987759498592397,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['PCA', 'PT', 'SD']",2.2871314009538253,0.17087288888623708,0.17857105551750652,0.16396316851716425,0.1671427587014279,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['PCA', 'PT', 'E']",2.737437246721353,0.18374390859187917,-0.1767280694035409,-1.0510703973742848,-1.0356617593378525,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['PCA', 'SD', 'E']",2.759656432512985,0.15391946176740812,-0.19590808903600765,-1.0419215320504547,-1.0254103891074262,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['DCA', 'PT', 'SD']",2.467575899006495,0.04169454978686837,0.04384388152042906,0.03601809996925795,0.038367490284033835,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['DCA', 'PT', 'E']",3.368437610557607,0.07085649486476775,-0.7817418648334393,-2.4559019803655766,-2.3934814088288205,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['DCA', 'SD', 'E']",3.395012966862798,0.034657371102829515,-0.8099669451008209,-2.4943350309271586,-2.419523154545569,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['PT', 'SD', 'E']",3.3596339489183644,0.07204431752916418,-0.7724406063582072,-2.4411515307302376,-2.372170781344284,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['TS', 'TM', 'F', 'PCA']",2.1661269831573886,0.22542014555730616,0.26318986083246765,0.22399047442638473,0.22619437276790647,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'F', 'DCA']",2.1971396208155687,0.18921811965299384,0.24194087417207866,0.1929084153040886,0.19432758850887152,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'F', 'PT']",2.1659012119785483,0.21429719107885004,0.2633434453875757,0.21818850800062894,0.21888435638710604,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'F', 'SD']",2.1983047127538695,0.18906209105634975,0.2411366988339705,0.1926099764140194,0.19440813444639718,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'F', 'E']",2.61501943619782,0.19925767096280156,-0.07383513859908697,-0.8624248378574692,-0.8260744886829917,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'PCA', 'DCA']",2.1593497070016996,0.22921675333543534,0.26779324189868425,0.22764069940433096,0.22964543889071534,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'PCA', 'PT']",2.1315313070157615,0.24957305931992724,0.286537419384717,0.2486592589583869,0.25033827987287716,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'PCA', 'SD']",2.165041250151434,0.22549680049063203,0.263928301935616,0.22439084663786255,0.22641993624255372,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'PCA', 'E']",2.445546685489847,0.23242710611630735,0.060839789117092424,-0.4927049368160239,-0.4720581261383778,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'DCA', 'PT']",2.161638454726464,0.21549267505034508,0.26624025149943553,0.2198440811743961,0.22021760148535346,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'DCA', 'SD']",2.1947885485246204,0.18975277027545656,0.24356234440559654,0.1938061372198337,0.19526071223877473,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'DCA', 'E']",2.610174732376413,0.20002959666105646,-0.0698599527828343,-0.8515146790852897,-0.8114457924829562,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'PT', 'SD']",2.1635653802118386,0.21490363066223006,0.2649314937418902,0.21926830364022895,0.21987268363720033,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'PT', 'E']",2.6018606502727,0.2257271619382013,-0.06305524573250842,-0.8834817531794428,-0.8444182988383098,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'TM', 'SD', 'E']",2.6101756740897626,0.19988620352959352,-0.06986072476301564,-0.8609860021643964,-0.8183630523111594,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'F', 'PCA', 'DCA']",2.3197743435953835,0.15102955065543844,0.15495613992597523,0.14116518197327357,0.1460004609270324,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'F', 'PCA', 'PT']",2.279188707617085,0.17786822298013372,0.18426642517258096,0.16951038464190432,0.17374018837172628,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'F', 'PCA', 'SD']",2.321187923250305,0.1493442172042282,0.15392595286196542,0.1399792891464941,0.1448031732245841,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'F', 'PCA', 'E']",2.733862762099302,0.16115204395710836,-0.17365698515154904,-0.9825936882376346,-0.9756607925365064,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'F', 'DCA', 'PT']",2.447046987315205,0.06086200510858775,0.05968711761565049,0.050063718684933284,0.05552102645527217,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'F', 'DCA', 'SD']",2.49256210244752,0.02683399886866389,0.024382135518695502,0.014287052697391167,0.021463016380360012,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'F', 'DCA', 'E']",3.3122502038580808,0.05299019837468677,-0.7227967341891779,-2.277938730286437,-2.245087438570751,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'F', 'PT', 'SD']",2.4453897270366176,0.06242337518346486,0.060960338362340494,0.051156917081173814,0.05711166653913544,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'F', 'PT', 'E']",3.278574605768606,0.08903990485936819,-0.6879435184670599,-2.236521457159608,-2.2068301388808425,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'F', 'SD', 'E']",3.303333634645926,0.05419353415511807,-0.7135336900948337,-2.2634079728732184,-2.2239742245663345,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'PCA', 'DCA', 'PT']",2.2772859739366984,0.17810001776888096,0.1856278533532435,0.17076122878636166,0.17393492968909838,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'PCA', 'DCA', 'SD']",2.3198326947830976,0.14898870555895027,0.1549136272279612,0.14083408143119186,0.14452083680887398,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'PCA', 'DCA', 'E']",2.7320052791133453,0.16084175662487843,-0.17206267887495752,-0.974812660786206,-0.9595654017399203,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'PCA', 'PT', 'SD']",2.2791915410931747,0.17604385819656443,0.18426439693945673,0.16922107393205077,0.17237491304370595,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'PCA', 'PT', 'E']",2.7185954432433213,0.18854510414874281,-0.16058495954333107,-1.0180323631261108,-1.0004511459695293,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'PCA', 'SD', 'E']",2.739436760174035,0.1594283265833497,-0.17844773835244898,-1.0065002890501207,-0.9878395641485268,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'DCA', 'PT', 'SD']",2.4448342652946207,0.057220328159675926,0.061386889075801365,0.0516045277379322,0.05385311571195879,"Test_Size = 0.2, Number_Feature = 4"
